Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude
Afghanistan,2000,1.613591,6.2,9.22,20000,44.99,0.16,0,0.31,65.95744,302.59482,1.64,760,,,,60,652230,33.93911,67.709953
Albania,2000,100,38.2,,,,0.14,0,4.55,97.01493,9029.4375,4.13,3170,,6.94621659,1126.68334,105,28748,41.153332,20.168331
Algeria,2000,98.9731,97.1,8.91,,0.43,23.84,0,0.05,0.20929259,9746.524,4.18,80050,0.05323548,3.8,1765.02715,18,2381741,28.033886,1.659626
Angola,2000,24.212744,41.1,14.37,,73.44,0.5,0,0.9,64.28571,1979.2562,3.68,16200,,3.05462423,556.838632,26,1246700,-11.202692,17.873887
Antigua and Barbuda,2000,97.68926,100,0,,0,0.14,0,0,0,28457.223,3.13,330,,6.20343125,10872.293,223,443,17.060816,-61.796428
Argentina,2000,95.78329,95,235.62,,9.85,50.37,5.99,28.89,40.914955,18849.81,3.69,132270,12.283858,-0.7889989,7708.09912,17,2780400,-38.416097,-63.616672
Armenia,2000,98.9,79.5,333.66,,7.16,2.53,1.84,1.25,54.98221,9270.454,6.79,3560,,5.9,622.740923,104,29743,40.069099,45.038189
Aruba,2000,91.6604,,0,,0.18,0.73,0,0,0,49568.207,14.38,2379.883,,7.61658819,20617.7505,590,179,12.52111,-69.96833
Australia,2000,100,100,,,8.42,181.05,0,17.11,8.634437,68632.96,6.16,339450,3.9888778,3.91242773,21697.7085,3,7741220,-25.274398,133.775136
Austria,2000,100,100,,,26.44,16.41,0,43.44,72.58146,48863.28,3.22,63530,32.954258,3.37572215,24564.4583,109,83871,47.516231,14.550072
Azerbaijan,2000,98.908226,70.3,113.51,4880000,2.07,16.13,0,1.52,8.611898,16123.289,14.46,27690,3.446014,11.0999995,655.119945,123,86600,40.143105,47.576927
Bahamas,2000,100,100,0,,0,1.57,0,0,0,50650.19,2.33,,,,,41,13878,25.025885,-78.035889
Bahrain,2000,100,100,0,,0,13.02,0,0,0,157253.03,10.43,15880,,5.30007006,13636.4168,"2,239",765,26.0667,50.5577
Bangladesh,2000,32,8.3,1.8,3010000,59.06,13.93,0,0.94,6.3214526,1053.6212,3.14,21650,1.6270727,5.29329472,418.068942,"1,265",148460,23.684994,90.356331
Barbados,2000,100,100,0,,14.32,0.76,0,0,0,26318.064,3.83,1240,,4.44718962,11268.4201,668,430,13.193887,-59.543198
Belarus,2000,100,94.7,,,5.65,24.51,0,0.03,0.12224939,24868.184,12.85,52940,0.03130186,5.80000344,1276.49399,47,207600,53.709807,27.953389
Belgium,2000,100,100,,,1.44,33.58,48.16,1.05,59.439545,72420.41,5.51,117270,0.43326905,3.71667938,23041.5347,383,30528,50.503887,4.469936
Belize,2000,79,79.9,125.47,,34.55,0.09,0,0.09,49.999996,10038.552,6.7,450,,13.0195774,3364.49173,17,22966,17.189877,-88.49765
Benin,2000,21.531084,0.6,0.07,,70.29,0.08,0,0,0,980.96387,4.88,1420,,5.85771421,512.673902,108,112622,9.30769,2.315834
Bermuda,2000,100,,,,0.46,0,0,0,,39297.88,1.52,517.047,,9.31715641,56284.1687,1281,54,32.299507,-64.790337
Bhutan,2000,31.15,27.8,582.64,4890000,91.4,0,0,1.79,100,8469.052,18.42,210,,3.35506829,718.196337,20,38394,27.514162,90.433601
Bosnia and Herzegovina,2000,100,52.1,,,19.35,5.01,0,5.04,50.149254,15474.596,6.82,13960,,12.7654695,1484.17606,64,51197,43.915886,17.679076
Botswana,2000,26.40898,44.4,0,30000,38.46,0.89,0,0,0,8308.661,4,4030,,1.98769585,3522.31082,4,581730,-22.328474,24.684866
Brazil,2000,94.391716,89,364.68,126500000,42.66,28.87,4.94,308.77,91.57278,13400.32,3.88,313670,43.288433,4.38794944,3749.91085,25,8515770,-14.235004,-51.92528
Bulgaria,2000,100,,,,7.97,19.79,18.18,2.63,51.25616,26859.672,9.34,43420,3.6347754,4.58722534,1621.24296,64,110879,42.733883,25.48583
Burkina Faso,2000,9.07502,2.7,2.8,120000,85.41,0.22,0,0.1,31.25,358.42392,5.49,940,,1.88847389,255.718687,76,274200,12.238333,-1.561593
Burundi,2000,2.4632368,0.3,8.51,,93.23,0,0,0.1,100,261.95847,10.37,260,,-0.8568641,136.463971,463,27830,-3.373056,29.918886
Cambodia,2000,16.6,3.6,0.83,,81.58,0.42,0,0.05,10.638298,739.4555,7.91,1960,,9.99358032,300.613679,95,181035,12.565679,104.990963
Cameroon,2000,41,9.8,46.37,,84.59,0.04,0,3.41,98.840576,1575.576,6.23,5210,,3.8324178,681.102043,56,475440,7.369722,12.354722
Canada,2000,100,100,,,22.04,155.56,69.16,363.7,73.5631,118875.336,9.31,514220,29.767817,4.91776274,24271.0021,4,9984670,56.130366,-106.34677
Cayman Islands,2000,100,,0,,0,0.4,0,0,0,52485.707,1.91,465.709,,,,274,264,19.3299,81.2524
Central African Republic,2000,6,0.6,5.18,,88.9,0.02,0,0.08,80,384.72043,7.73,240,,-2.4894324,251.207291,8,622984,6.611111,20.939444
Chad,2000,3.1798813,3,0.24,,88.7,0.08,0,0.01,11.111111,124.966064,8.21,290,,-0.879681,166.175709,13,1284000,15.454166,18.732207
Chile,2000,97.93869,100,290.18,460000,31.36,20.42,,18.48,47.506424,20023.135,4.39,50420,19.573402,5.32693842,5074.90262,26,756096,-35.675147,-71.542969
China,2000,97.0218,42,58.78,243620000,29.63,1113.3,16.74,225.56,17.874004,9334.936,10.85,3346530,5.656925,8.49009341,959.372484,153,9596960,35.86166,104.195397
Colombia,2000,95.2,78.1,210.84,,28.03,10.21,0,31.98,75.79996,8011.8125,3,58340,29.556067,2.92486148,2520.48109,46,1138910,4.570868,-74.297333
Comoros,2000,39.715355,0.6,0,,69.87,0.02,0,0,0,816.7021,2.66,100,,10.8478786,647.425812,467,2235,-11.6455,43.3333
Congo,2000,29.090015,9.3,27.56,150000,64.86,0,0,0.29,100,1227.4918,2.16,,,,,18,2345409,-4.1128,13.7289
Costa Rica,2000,96.94,89,359.7,100000,32.95,0.07,0,6.78,98.9781,10699.309,2.41,4950,,3.86871809,3789.05389,100,51100,9.748917,-83.753428
Croatia,2000,100,100,,,26.76,4.81,0,6.45,57.282413,21227.025,4.32,18040,19.766573,2.89550051,4887.71372,73,56594,45.1,15.2
Cuba,2000,97,71.4,5.2,790000,34.43,14.1,0,0.09,0.6342495,9883.993,3.46,28350,,5.91476017,2747.1003,106,110860,21.521757,-77.781167
Cyprus,2000,100,100,,,3.08,3.37,0,0,0,31912.982,3.92,7130,0,5.96531032,14388.3481,131,9251,35.126413,33.429859
Czechia,2000,100,100,,,5.94,57.03,13.59,2.28,21.769547,46362.195,6.74,123170,1.4434271,,,136,78871,49.817492,15.472962
Denmark,2000,100,100,,,10.73,30.43,0,5.57,15.472222,44286.535,2.99,52600,7.0956745,3.7468626,30743.5477,137,43094,56.26392,9.501785
Djibouti,2000,56.37995,4,0,,31.44,0.18,0,0,0,4762.17,6.03,370,,,768.18357,43,23200,11.825138,42.590275
Dominica,2000,80.95181,81,110.27,,11.06,0.04,0,0.03,42.857143,7741.9917,2.46,130,,2.34021932,4787.80144,96,751,15.414999,-61.370976
Dominican Republic,2000,88.76493,84.1,53.73,11100000,19.11,7.34,0,0.75,9.270704,10094.044,3.9,18670,,4.66176228,2869.17814,225,48670,18.735693,-70.162651
Ecuador,2000,93.73226,87.8,135.21,2220000,19.43,2.82,0,7.53,72.753624,8246.84,3.27,22050,21.613928,1.09180156,1445.27932,71,283561,-1.831239,-78.183406
Egypt,2000,97.7,83.5,42.53,10780000,8.26,60.77,0,13.7,18.39667,7965.8477,3.27,,7.416068,,,103,1001450,26.820553,30.802498
El Salvador,2000,84.51925,57.9,97.82,,33.51,1.7,0,2.03,54.42359,4934.59,3.47,5630,,1.12790698,2001.54005,313,21041,13.794185,-88.89653
Equatorial Guinea,2000,65.55956,19,9.24,,45.85,0.08,0,0.01,11.111111,4751.2705,1.57,2220,,18.21378,1725.55758,50,28051,1.650801,10.267895
Eritrea,2000,29.25451,3.5,0,,76.62,0.2,0,0,0,1086.2354,5.2023726,640,,-3.1419859,308.134187,35,117600,15.179384,39.782334
Estonia,2000,100,100,,,19.83,8.5,0,0.01,0.11750881,39722.04,7.95,14920,0.10166839,10.0876344,4070.60902,31,45228,58.595272,25.013607
Eswatini,2000,20.195763,24.3,103.24,,59.39,0.06,0,0.55,90.16393,6083.903,6.23,690,,1.76017376,1728.7105,67,17364,-26.522503,31.465866
Ethiopia,2000,12.7,0.9,6.12,1500000,95.55,0.06,0,1.64,96.47059,287.99124,21.38,3560,,6.07321748,124.460791,115,1104300,9.145,40.489673
Fiji,2000,75.72492,28.2,133.85,,50.06,0.18,0,0.44,70.96774,9308.956,2.75,810,,-1.6999984,2069.31746,49,18274,-17.713371,178.065032
Finland,2000,100,100,,,31.68,23.93,22.48,23.38,65.71142,69377,6.57,55100,19.702833,5.77336246,24285.4668,18,338145,61.92411,25.748151
France,2000,100,100,,,9.32,50.61,415.16,67.83,90.51537,52966.594,4.36,373120,6.7445607,3.92366923,22364.0294,119,643801,46.227638,2.213749
French Guiana,2000,,,702.29,,23.84,0.43,0,0,0,13692.394,,,,,,,,,
Gabon,2000,73.6,64.6,138.56,,72.78,0.48,0,0.8,62.5,9016.453,3.03,6080,,-1.8829664,4135.99238,9,267667,-0.803689,11.609444
Gambia,2000,34.3,3.7,0,,62.86,0.11,0,0,0,880.39734,3.13,,,,,239,11300,13.466666,-16.566667
Georgia,2000,99.81181,48.1,587.03,,47.25,1.47,0,5.8,79.779915,9423.704,5.99,4770,,1.83834107,749.908535,57,69700,42.315407,43.356892
Germany,2000,100,100,,,3.7,367.22,169.61,35.47,35.834354,48903.7,4,830280,2.8871117,2.91250296,23635.9292,240,357022,51.165691,10.451526
Ghana,2000,43.7,6.2,61.51,4160000,71.62,0.58,0,6.55,91.86536,2116.77,5.02,5740,,3.70000008,258.47104,137,238533,7.946527,-1.023194
Greece,2000,100,100,,,7.82,49.28,0,4.14,7.7499065,33796.73,3.6,94460,3.2847326,3.91977091,12042.9537,81,131957,39.074208,21.824312
Grenada,2000,86.04223,92.4,0,,10.5,0.13,0,0,0,8030.945,2.45,210,,4.88795214,5056.97726,331,349,12.1165,-61.679
Guatemala,2000,73.31821,40.55,62.27,,62.75,2.84,0,3.19,52.902153,4058.544,4,9420,,3.60886872,1664.29896,167,108889,15.783471,-90.230759
Guinea,2000,15.146257,0.7,15.56,220000,85.52,0.34,0,0.41,54.666668,933.22345,9.11,1490,,2.50306056,363.482279,53,245857,9.945587,-9.696645
Guinea-Bissau,2000,,1.4,0,,91.24,0.03,0,0,0,809.8549,11.19,150,,5.42698737,308.910318,70,36125,11.803749,-15.180413
Guyana,2000,74.51728,35.6,29.4,,29.75,0.82,0,0.06,6.818182,9131.178,5.78,1660,,-1.3638039,954.400318,4,214969,4.860416,-58.93018
Haiti,2000,33.7,2.6,6.65,840000,80.85,0.25,0,0.28,52.830193,836.0804,5.63,1470,,0.87005925,805.025633,414,27750,18.971187,-72.285215
Honduras,2000,67.383354,30.7,66.67,32740000,55.24,1.3,0,2.24,63.276836,3657.3855,4.65,4990,,7.29128816,1080.51047,89,112090,15.199999,-86.241905
Hungary,2000,100,100,,,5.17,20.77,14.18,0.24,40.97755,27524.092,5.28,54630,0.26188785,4.47919381,4624.28166,107,93028,47.162494,19.503304
Iceland,2000,100,100,,,60.66,0,0,7.61,100,118057.81,11.18,2230,67.80518,4.98504277,32096.3723,3,103000,64.963051,-19.020835
India,2000,58.721474,22.3,23.66,485730000,46.88,475.35,15.77,80.27,16.808134,3518.6821,6.42,937860,6.3762894,3.84099116,443.314194,464,3287263,20.593684,78.96288
Indonesia,2000,86.3,6.1,25.89,2320000,45.62,78.43,,19.6,19.99388,5435.4355,5.42,280650,3.7336404,4.92006775,780.190205,151,1904569,-0.789275,113.921327
Iraq,2000,96.92168,74.1,28.51,,0.36,29.41,0,0.61,2.0319786,13100.986,5.07,87630,2.9294536,16.9216657,2058.2644,93,438317,33.223191,43.679291
Ireland,2000,100,100,,,2.04,22.49,0,1.18,4.985213,45993.887,3.12,42530,2.0416548,9.39941801,26269.1816,73,84421,53.41291,-8.24389
Israel,2000,100,100,,,5.96,40.07,0,0.03,0.07481297,37170.773,3.86,57000,0.04031573,8.89227449,21061.4823,400,20770,31.046051,34.851612
Italy,2000,100,100,,,5.12,218.28,0,50.87,18.900242,36851.285,2.93,436300,7.1556435,3.78695514,20087.592,206,301340,41.87194,12.56738
Jamaica,2000,84.394135,75.7,20.81,5180000,9.37,5.76,0,0.46,7.3954988,16542.139,5.89,10060,,0.87870355,3392.12388,273,10991,18.109581,-77.297508
Japan,2000,100,100,,,3.7,578.29,305.95,104.16,41.49231,49229.383,4.78,1182610,4.8274536,2.76464755,39169.3596,347,377944,36.204824,138.252924
Jordan,2000,98.93427,99.6,2.81,,2.09,6.89,0,0.05,0.7204611,13120.57,4.55,16270,,4.24571234,1651.6218,115,89342,30.585164,36.238414
Kazakhstan,2000,99.50956,84.4,151.45,,2.5,44.11,,7.53,14.581719,24267.602,9.77,120150,6.0228243,9.8,1229.00125,7,2724900,48.019573,66.923684
Kenya,2000,15.131171,1.8,24.07,90000,78.86,2.02,0,2.03,50.123455,1478.989,6.4,8320,,0.59969539,397.482659,94,580367,-0.023559,37.906193
Kiribati,2000,55.124897,1.6,0.74,,55.85,0.01,0,0,0,1636.9808,5.07,30,,6.25,796.803204,147,811,1.8368976,-157.37683
Kuwait,2000,100,100,0,,0,30.38,0,0,0,109536.43,6.91,49840,0,4.69458187,18440.3785,240,17818,29.31166,47.481766
Kyrgyzstan,2000,99.610245,52.7,598.16,8460000,35.16,2.16,0,13.55,86.25079,14177.031,6.44,,,,,34,199951,41.20438,74.766098
Latvia,2000,100,100,,,35.82,1.32,0,2.82,68.115944,15779.984,5.27,6930,22.118162,5.67573517,3361.64087,30,64589,56.879635,24.603189
Lebanon,2000,99.35159,,73.38,,4.89,8.75,0,0.44,4.787813,14027.069,3.73,15670,,1.34187162,4491.64193,667,10400,33.854721,35.862285
Lesotho,2000,4.25876,16,37.1,,56.7,0,0,0.29,100,1235.5165,13.95,390,,3.87554681,436.488137,71,30355,-29.609988,28.233608
Liberia,2000,,0.7,1.4,,90.88,0.2,0,0,0,653.1203,10.09,430,,,306.833864,53,111369,6.428055,-9.429499
Libya,2000,99.8,,0,,2.04,14.56,0,0,0,41310.375,7.37,44720,,3.67921329,7142.77179,4,1759540,26.3351,17.228331
Lithuania,2000,100,100,,,17.19,2.27,8.42,0.34,79.41977,21678.389,6.17,10510,1.2857236,3.69552542,3293.22998,43,65300,55.169438,23.881275
Luxembourg,2000,100,100,,,6.81,0.24,0,0.16,40,85402.43,3.35,8560,1.3703701,6.93813025,48538.7829,242,2586,49.815273,6.129583
Madagascar,2000,12.72419,1.3,6.71,,82.62,0.24,0,0.54,69.230774,591.2006,6.03,1650,,4.45685894,293.607157,48,587041,-18.766947,46.869107
Malawi,2000,4.8,2.1,26.9,6840000,82.62,0.15,0,1.09,87.90323,606.25275,5.29,710,,1.57607784,156.385817,203,118484,-13.254308,34.301525
Malaysia,2000,99.10397,98,119.04,141190000,4.44,62.91,,7.56,10.727969,26639.928,5.48,124360,3.6813028,8.85886817,4043.66292,99,329847,4.210484,101.975766
Maldives,2000,83.8,53.1,0,4770000,2.34,0.1,0,0,0,10129.736,1.74,460,,3.84581039,2234.59586,"1,802",298,3.202778,73.22068
Mali,2000,9.5932,0.7,7.75,3560000,83.47,0.14,0,0.25,64.10257,391.75388,4.82,1410,,-0.060835,270.542236,17,1240192,17.570692,-3.996166
Malta,2000,100,100,,,0,1.92,0,0,0,46378.05,2.64,2130,,19.6812701,10432.3281,"1,380",316,35.937496,14.375416
Mauritania,2000,18.746132,29.6,0,,44.41,0.2,0,0.03,13.043478,1872.364,2.5,1270,,-3.9180259,676.569022,5,1030700,21.00789,-10.940835
Mauritius,2000,99,93.6,111.33,,20.42,1.4,0,0.28,16.666668,13215.6,3,2430,,8.20279178,3929.0755,626,2040,-20.348404,57.552152
Mexico,2000,98.00713,82.4,109.89,2450000,12.17,141.8,7.81,44.51,26.952402,17300.662,3.6,379180,7.1508975,4.94245372,7157.8145,66,1964375,23.634501,-102.55278
Mongolia,2000,67.3,22.8,6.27,5180000,5.73,2.82,0,0,0,17691.607,9.24,9000,,1.14606214,474.217094,2,1564116,46.862496,103.846656
Morocco,2000,69.56738,90.6,42.62,260000,15.26,11.36,0,0.77,6.3478975,4113.667,3.63,32880,1.9685844,1.91287298,1334.94346,83,446550,31.791702,-7.09262
Mozambique,2000,6.096311,2.3,124.09,40000,93.64,0.03,0,9.58,99.68783,1646.6608,26.91,1430,,1.18030079,319.359621,40,799380,-18.665695,35.529562
Myanmar,2000,41.83379,2.9,7.36,,80.17,2.8,0,2.11,42.973522,1055.1344,10.52,9440,,12.4181916,146.604579,83,676578,21.916221,95.955974
Namibia,2000,36.5,33.7,134.28,110000,34.73,0.04,0,1.37,97.163124,6971.662,3.58,1940,,3.49218336,2185.60412,3,824292,-22.95764,18.49041
Nauru,2000,99.43709,100,0,,0,0.03,0,0,0,44017.28,17.39,90,,,,541,21,-0.522778,166.931503
Nepal,2000,29.046267,5.7,11.76,11770000,88.29,0.06,0,1.63,96.4497,599.056,6.83,3220,,6.19999999,229.490393,203,147181,28.394857,84.124008
Netherlands,2000,100,100,,,1.73,82.49,3.93,2.97,7.718984,63325.41,4.15,162100,0.9258593,4.1956425,26149.4111,508,41543,52.132633,5.291266
New Caledonia,2000,100,,367.99,,7.54,1.12,0,0.45,28.66242,45268.094,,2233.203,,2.10010883,16039.1692,16,19060,-20.904305,165.618042
New Zealand,2000,100,100,,,29.13,10.69,0,27.51,72.01571,59543.81,5.66,29450,36.374214,2.90502299,13641.1027,18,268838,-40.900557,174.885971
Nicaragua,2000,72.78157,33.9,30.18,30000,58.42,1.69,0,0.44,20.657276,3180.8794,5.23,3770,,4.10159025,1007.49984,55,130370,12.865416,-85.207229
Niger,2000,6.4814816,0.9,0.04,190000,87.62,0.18,0,0,0,285.42957,5.83,670,,-1.2084777,197.832683,19,1267000,17.607789,8.081666
Nigeria,2000,43.12146,1,17.05,,86.21,8.45,0,5.7,40.28269,1827.2556,10.01,97220,,5.01593476,567.930722,226,923768,9.081999,8.675277
North Macedonia,2000,100,57.55,,,19.38,5.64,0,1.17,17.180616,15136.714,5.39,8760,11.215344,4.54913578,1861.89807,83,25713,41.608635,21.745275
Norway,2000,100,100,,,60.18,0.32,0,142.11,99.77533,129255.24,4.27,34290,72.39789,3.20497922,38131.4606,15,323802,60.472024,8.468946
Oman,2000,100,100,0,,0,8.56,0,0,0,47317.117,4.09,25110,0,6.55106665,8601.27194,16,309500,21.4735329,55.975413
Pakistan,2000,70.3106,23.7,36.36,40000,51.05,45.23,0.38,17.79,28.659306,3133.7341,5.77,98370,11.344158,4.26008801,576.19558,287,796095,30.375321,69.345116
Panama,2000,81.40141,80,206.02,,27.67,1.36,0,3.4,71.428566,22342.99,2.27,5280,,2.71537416,4060.31779,58,75420,8.537981,-80.782127
Papua New Guinea,2000,7.577014,5.6,36.37,,66.38,1.14,0,0.97,45.971565,2747.3433,5.88,2830,,-2.494842,602.18649,20,462840,-6.314993,143.95555
Paraguay,2000,89.42114,49.2,1388.26,,70.41,0.01,0,52.96,99.98112,24335.996,3.56,3520,,-2.3141406,1663.60494,18,406752,-23.442503,-58.443832
Peru,2000,72.4965,43.1,109.35,1070000,38.57,3.47,0,16.07,82.241554,5528.503,3.32,28630,32.495964,2.6943714,1955.58801,26,1285216,-9.189967,-75.015152
Philippines,2000,74.66169,37.9,48.53,12130000,33.42,24.29,0,19.37,44.365555,3945.0947,4.72,72100,18.595215,4.38250483,1072.80175,368,300000,12.879721,121.774017
Poland,2000,100,100,,,6.93,140.85,0,2.33,1.6273223,26426.166,5.98,295770,0.6828017,4.5610259,4501.45407,124,312685,51.919438,19.145136
Portugal,2000,100,100,,,20.12,30.51,0,12.87,29.668049,28476.13,3.29,61660,13.07334,3.81617806,11497.7535,111,92212,39.399872,-8.224454
Puerto Rico,2000,100,,27.2,,0.55,21.66,0,0.15,0.68775797,33807.605,0.11,,,3.27196453,16192.127,368,9104,18.25,-66.5
Qatar,2000,100,100,0,,0.08,8.59,0,0,0,207755.62,8.92,28660,0,,29976.1676,248,11586,25.354826,51.183884
Romania,2000,100,72.4,,,16.37,31.32,5.46,14.78,39.255234,19175.828,5.58,89020,10.396162,2.46126346,1659.90764,84,238391,45.943161,24.96676
Rwanda,2000,6.2,0.2,5.18,150000,86.78,0,0,0.11,100,357.7341,7.8,540,,8.37091824,260.601186,525,26338,-1.940278,29.873888
Saint Kitts and Nevis,2000,95.28154,100,0,,26.64,0.09,0,0,0,16953.34,3.09,,,,,205,261,17.357822,-62.782998
Saint Lucia,2000,89.387436,86.2,0,,24.05,0.26,0,0,0,9184.194,3.06,,,,,301,616,13.909444,-60.978893
Saint Vincent and the Grenadines,2000,79.881775,95.6,52.33,,8.49,0.06,0,0.03,33.333332,6158.8203,2.43,,,,,284,389,12.984305,-61.287228
Samoa,2000,87.85783,18.6,86.04,,59.69,0.05,0,0.05,50,5050.979,5.31,150,,6.91879445,1542.06674,70,2831,-13.759029,-172.10463
Sao Tome and Principe,2000,52.9,0.4,16.31,,54.73,0.02,0,0.01,33.333336,2032.075,4.52,50,,,,242,836,0.3301924,6.733343
Saudi Arabia,2000,100,100,0.02,,0.01,138.68,,0,0,61950.85,4.73,249660,0,5.62541614,9171.33148,16,2149690,23.885942,45.079162
Senegal,2000,37.74,34.8,1.05,160000,47.52,1.39,0,0.05,3.472222,2051.4053,3.95,4060,,3.88721096,613.732385,87,196722,14.497401,-14.452362
Seychelles,2000,94.08934,100,0,,1.52,0.18,0,0,0,46969.09,2.91,290,,1.51433882,7578.85105,214,455,-4.679574,55.491977
Sierra Leone,2000,7.7881427,0.1,0.87,,91.31,0.07,0,0.01,12.5,409.26733,11.05,330,,6.65272789,138.698723,111,71740,8.460555,-11.779889
Singapore,2000,100,100,37.95,,0.33,29,0,0,0,109289.08,3.46,42120,0.17653827,9.03914675,23852.327,"8,358",716,1.352083,103.819836
Slovakia,2000,100,100,,,3.73,9.68,16.49,4.61,68.551,40591.293,8.8,,6.252774,,,114,49035,48.669026,19.699024
Slovenia,2000,100,100,,,17.96,4.95,4.76,3.9,63.629684,39623.406,5.23,14540,14.703167,3.67237155,10201.3035,103,20273,46.151241,14.995463
Solomon Islands,2000,4.5170293,8.7,0.75,,55.26,0.06,0,0,0,2456.5134,6.99,240,,-14.275137,1017.61376,25,28896,-9.64571,160.156194
Somalia,2000,1.8925012,0.4,0,,93.28,0.23,0,0,0,340.10217,11.22,490,,,,25,637657,5.152149,46.199616
South Africa,2000,72.28246,55.9,27.76,7020000,16.25,181.67,13.01,1.79,7.5329566,25321.518,10.07,284660,0.40555847,4.2,3374.71842,49,1219090,-30.559482,22.937506
Spain,2000,100,100,,,7.88,124.22,62.21,34.49,43.7715,37495.703,3.6,293310,7.0082307,5.24599468,14713.0657,94,505370,40.463667,-3.74922
Sri Lanka,2000,70.2628,16.9,61.59,1470000,64.16,3.28,0,3.17,49.14729,2851.8083,3.12,10930,17.715664,6.00003316,869.696285,341,65610,7.873054,80.771797
Sudan,2000,23,7.6,14.95,,80.42,1.23,0,1.35,52.325584,1182.5435,7.88,5690,,6.34586777,366.172742,25,1861484,12.862807,30.217636
Suriname,2000,95.49438,77.9,382.21,,23.63,0.69,0,0.71,50.714287,17458.83,4.15,1480,,2.09999887,2012.28165,4,163820,3.919305,-56.027783
Sweden,2000,100,100,,,39.82,4.77,57.32,83.14,96.71556,72085.086,5.54,53280,38.59571,4.76634887,29624.9127,25,450295,60.128161,18.643501
Switzerland,2000,100,100,,,18.19,2.63,25.12,34,95.74089,50728.715,2.44,43710,30.638752,3.97640923,38952.0342,219,41277,46.818188,8.227512
Tajikistan,2000,98.46774,36.5,653.28,,62.41,0.21,0,13.77,98.497856,9375.051,10.92,2200,,8.3243245,138.429147,68,144100,38.861034,71.276093
Thailand,2000,82.1,56.9,56.77,150000,21.82,83.15,0,6.38,7.126103,11764.549,4.93,164490,2.5746095,4.45524704,2007.73527,137,513120,15.870032,100.992541
Togo,2000,16.956234,0.5,13.69,,77.11,0.07,0,0.1,58.82353,918.548,10.56,1270,,-0.7834796,302.958592,152,56785,8.619543,0.824782
Tonga,2000,85.57863,35.9,0.58,,2.48,0.03,0,0,0,4269.8066,2.97,100,,0.87599006,2091.11301,147,747,-21.178986,-175.19824
Trinidad and Tobago,2000,91.29,100,4.22,,0.76,5.11,0,0.03,0.5836576,89203.08,19.47,10200,0.05404043,6.90135959,6435.13421,273,5128,10.691803,-61.222503
Tunisia,2000,94.8,94.2,7.57,4390000,14.24,9.88,0,0.08,0.8032128,9003.821,4.3,20700,,4.7099729,2211.83502,76,163610,33.886917,9.537499
Turkey,2000,100,90.1,178.5,130880000,17.29,93.17,0,31.16,25.062334,13486.676,3.27,,10.657172,6.93323971,4337.478,110,783562,38.963745,35.243322
Turkmenistan,2000,99.6,99.4,0.27,,0.09,9.25,0,0,0,26223.863,29.85,38510,0.00778944,5.46906413,643.190975,13,488100,38.969719,59.556278
Tuvalu,2000,94.63068,16.1,0.64,,0,,,,,0,3.46,10,,-0.9705998,1463.16621,393,26,-7.109535,177.64933
Uganda,2000,7.3511305,0.9,11,26560000,95.01,0.04,0,1.55,97.484276,430.94543,13.37,1300,,3.14190734,261.869142,229,241038,1.373333,32.290275
Ukraine,2000,100,91.65,,,1.25,82.65,77.34,11.28,51.742863,32435.855,15.78,297380,2.1038008,5.9,658.348608,75,603550,48.379433,31.16558
United Arab Emirates,2000,100,100,0,,0.08,37.54,0,0,0,163580.66,4.08,84730,0,10.8527042,33291.3663,118,83600,23.424076,53.847818
United Kingdom,2000,100,100,,,0.96,279.34,85.06,9.98,25.385971,45275.645,4.14,530890,1.1345575,3.67236911,28223.0676,281,243610,55.378051,-3.435973
United States,2000,100,100,,,5.43,2697.28,753.89,350.93,29.05815,93999.86,6.73,5775810,4.027357,4.12748402,36334.9088,36,9833517,37.09024,-95.712891
Uruguay,2000,97.676865,100,466.8,,38.73,0.49,0,7,93.45795,14601.469,2.7,5460,,-1.9299306,6875.02547,20,176215,-32.522779,-55.765835
Uzbekistan,2000,99.59327,83.6,64.43,,0.72,38.51,0,5.82,13.128806,24053.547,28.2,123810,2.8995407,3.835,558.226802,79,447400,41.377491,64.585262
Vanuatu,2000,22.14308,15.9,3.24,,48.65,0.04,0,0,0,1988.2789,3.66,90,,5.92480906,1470.63587,25,12189,-15.376706,166.959158
Yemen,2000,49.187256,55.7,0,1480000,0.95,3.21,0,0,0,3228.2104,2.8231316,,,,,56,527968,15.552727,48.516388
Zambia,2000,16.7,13.8,173.03,10000,89.98,0.07,0,7.69,99.09794,2951.3672,12.77,1810,,3.89732294,345.689621,25,752618,-13.133897,27.849332
Zimbabwe,2000,33.65489,33.5,61.42,40000,69.26,3.3,0,3.44,51.038578,4919.5225,9.39,13700,,-3.0591898,563.057504,38,390757,-19.015438,29.154857